id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,duel,miscontrol,ball_receipt,out,dribble,clearance,counterpress,interception,shot,goalkeeper,off_camera,foul_won,foul_committed,injury_stoppage,ball_recovery,block,bad_behaviour,substitution,50_50,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,related_events_2,pass_outcome_id,pass_outcome_name,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,dribble_outcome_id,dribble_outcome_name,related_events_3,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,pass_no_touch,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,clearance_head,clearance_left_foot,foul_won_defensive,foul_committed_advantage,foul_won_advantage,pass_cut_back,pass_inswinging,pass_technique_id,pass_technique_name,location,injury_stoppage_in_chain,player,position,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_straight,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,shot_freeze_frame_16_location_0,shot_freeze_frame_16_location_1,shot_freeze_frame_16_player_id,shot_freeze_frame_16_player_name,shot_freeze_frame_16_position_id,shot_freeze_frame_16_position_name,shot_freeze_frame_16_teammate,shot_freeze_frame_17_location_0,shot_freeze_frame_17_location_1,shot_freeze_frame_17_player_id,shot_freeze_frame_17_player_name,shot_freeze_frame_17_position_id,shot_freeze_frame_17_position_name,shot_freeze_frame_17_teammate,dribble_nutmeg,related_events_4,related_events_5,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_outswinging,ball_recovery_recovery_failure,block_deflection,shot_freeze_frame_18_location_0,shot_freeze_frame_18_location_1,shot_freeze_frame_18_player_id,shot_freeze_frame_18_player_name,shot_freeze_frame_18_position_id,shot_freeze_frame_18_position_name,shot_freeze_frame_18_teammate,clearance_aerial_won,pass_goal_assist,pass_through_ball
40b15fd9-17d5-41a8-869d-19d4a27fbed3,49,1,00:00:51.766,0,51,43,Carry,5,217,Barcelona,4,From Throw In,217,Barcelona,0.32,,6ccd96e7-6441-42db-b999-e3f6274db27f,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,26.2,4.1,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,78d5f781-d772-46da-8d42-b00d9ac09b8c,28.3,5.2,,,,,805a8849-a6ce-41be-b8d5-0a4b5612a940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805a8849-a6ce-41be-b8d5-0a4b5612a940,50,1,00:00:52.086,0,52,22,Foul Committed,5,217,Barcelona,4,From Throw In,373,Córdoba CF,0.0,,40b15fd9-17d5-41a8-869d-19d4a27fbed3,18404.0,José Ángel Crespo Rincón,2.0,Right Back,91.8,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78d5f781-d772-46da-8d42-b00d9ac09b8c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78d5f781-d772-46da-8d42-b00d9ac09b8c,51,1,00:00:52.086,0,52,21,Foul Won,5,217,Barcelona,4,From Throw In,217,Barcelona,0.0,,805a8849-a6ce-41be-b8d5-0a4b5612a940,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,28.3,5.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f64a181e-a256-4bbc-ad3a-3e0a3d5c709f,52,1,00:01:06.484,1,6,30,Pass,6,217,Barcelona,3,From Free Kick,217,Barcelona,2.385791,,6377ccd3-5a71-48df-809a-9c87b08f76d5,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,39.4,8.1,4691.0,Claudio Andrés Bravo Muñoz,34.280315,2.4636626,1.0,Ground Pass,12.7,29.6,40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6377ccd3-5a71-48df-809a-9c87b08f76d5,53,1,00:01:08.870,1,8,42,Ball Receipt*,6,217,Barcelona,3,From Free Kick,217,Barcelona,,,f64a181e-a256-4bbc-ad3a-3e0a3d5c709f,4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,12.7,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deb53dcc-13a5-4c9b-bddb-0ba91eb52eb5,54,1,00:01:08.870,1,8,43,Carry,6,217,Barcelona,3,From Free Kick,217,Barcelona,0.941945,,3a7b121a-58b6-47e9-a602-ea9c8f8f22e5,4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,12.7,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6377ccd3-5a71-48df-809a-9c87b08f76d5,13.1,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a7b121a-58b6-47e9-a602-ea9c8f8f22e5,55,1,00:01:09.812,1,9,30,Pass,6,217,Barcelona,3,From Free Kick,217,Barcelona,1.612449,,255f5b21-4169-4169-af2b-84e89283d7bc,4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,13.1,31.2,5213.0,Gerard Piqué Bernabéu,19.19427,1.076855,1.0,Ground Pass,22.2,48.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255f5b21-4169-4169-af2b-84e89283d7bc,56,1,00:01:11.425,1,11,42,Ball Receipt*,6,217,Barcelona,3,From Free Kick,217,Barcelona,,,3a7b121a-58b6-47e9-a602-ea9c8f8f22e5,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,22.2,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0e7a307-39f1-4443-91e2-945f61056288,57,1,00:01:11.425,1,11,43,Carry,6,217,Barcelona,3,From Free Kick,217,Barcelona,7.587451,,255f5b21-4169-4169-af2b-84e89283d7bc,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,22.2,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c4d549b8-f720-435a-b2ee-3c4feada347f,36.9,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4d549b8-f720-435a-b2ee-3c4feada347f,58,1,00:01:19.012,1,19,30,Pass,6,217,Barcelona,3,From Free Kick,217,Barcelona,1.040141,,1410f140-8803-4ad6-be51-e1f5361ec6bc,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,36.9,47.2,5506.0,Javier Alejandro Mascherano,25.350346,-1.737242,1.0,Ground Pass,32.7,22.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410f140-8803-4ad6-be51-e1f5361ec6bc,59,1,00:01:20.052,1,20,42,Ball Receipt*,6,217,Barcelona,3,From Free Kick,217,Barcelona,,,c4d549b8-f720-435a-b2ee-3c4feada347f,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,32.7,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53f50c05-9ed9-4054-bcc2-0eb2339577ee,60,1,00:01:20.052,1,20,43,Carry,6,217,Barcelona,3,From Free Kick,217,Barcelona,5.397259,,1410f140-8803-4ad6-be51-e1f5361ec6bc,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,32.7,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26e7e25e-e0f2-456a-a931-9f6e9539734d,46.1,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26e7e25e-e0f2-456a-a931-9f6e9539734d,61,1,00:01:25.449,1,25,30,Pass,6,217,Barcelona,3,From Free Kick,217,Barcelona,2.120106,,2d93f761-a2f0-452c-94d4-2824eb5b20dd,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,46.1,22.8,5213.0,Gerard Piqué Bernabéu,26.73668,1.6231828,1.0,Ground Pass,44.7,49.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d93f761-a2f0-452c-94d4-2824eb5b20dd,62,1,00:01:27.569,1,27,42,Ball Receipt*,6,217,Barcelona,3,From Free Kick,217,Barcelona,,,26e7e25e-e0f2-456a-a931-9f6e9539734d,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,44.7,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041ad404-2a87-4f40-82bc-f975aae71586,63,1,00:01:27.569,1,27,43,Carry,6,217,Barcelona,3,From Free Kick,217,Barcelona,0.479894,,090a83ff-6622-4934-a27a-d99edf1ef135,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,44.7,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d93f761-a2f0-452c-94d4-2824eb5b20dd,46.3,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090a83ff-6622-4934-a27a-d99edf1ef135,64,1,00:01:28.049,1,28,30,Pass,6,217,Barcelona,3,From Free Kick,217,Barcelona,1.6253,,a5775013-45fa-42b3-bbc5-ad2b4e6189d6,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,46.3,52.3,5503.0,Lionel Andrés Messi Cuccittini,39.65476,0.5257147,1.0,Ground Pass,80.6,72.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5775013-45fa-42b3-bbc5-ad2b4e6189d6,65,1,00:01:29.675,1,29,42,Ball Receipt*,6,217,Barcelona,3,From Free Kick,217,Barcelona,,,090a83ff-6622-4934-a27a-d99edf1ef135,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,80.6,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e7d73af-8654-495c-956b-d3146e4e6b5b,66,1,00:01:29.675,1,29,43,Carry,6,217,Barcelona,3,From Free Kick,217,Barcelona,0.28,,821bdb79-4078-4b7e-8402-8f959ec3b6a3,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,80.6,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a5775013-45fa-42b3-bbc5-ad2b4e6189d6,80.4,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821bdb79-4078-4b7e-8402-8f959ec3b6a3,67,1,00:01:29.955,1,29,30,Pass,6,217,Barcelona,3,From Free Kick,217,Barcelona,1.668116,,4dc72b24-477a-4d2c-a2a8-45064aa81bd0,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,80.4,70.1,4324.0,Daniel Alves da Silva,19.789139,-2.7254207,1.0,Ground Pass,62.3,62.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4dc72b24-477a-4d2c-a2a8-45064aa81bd0,68,1,00:01:31.623,1,31,42,Ball Receipt*,6,217,Barcelona,3,From Free Kick,217,Barcelona,,,821bdb79-4078-4b7e-8402-8f959ec3b6a3,4324.0,Daniel Alves da Silva,2.0,Right Back,62.3,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3f46510-1c17-4f51-bb99-5e7eb1b37122,69,1,00:01:31.623,1,31,43,Carry,6,217,Barcelona,3,From Free Kick,217,Barcelona,0.377184,,1d4811e8-a2ba-4b42-b1d2-ddc48886e3dc,4324.0,Daniel Alves da Silva,2.0,Right Back,62.3,62.1,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,4c835474-9e7b-4c9b-ae60-6c08fdb7c00c,60.4,64.5,,,,,4dc72b24-477a-4d2c-a2a8-45064aa81bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d4811e8-a2ba-4b42-b1d2-ddc48886e3dc,70,1,00:01:31.937,1,31,17,Pressure,6,217,Barcelona,3,From Free Kick,373,Córdoba CF,0.8741,,4c835474-9e7b-4c9b-ae60-6c08fdb7c00c,24139.0,Luis Eduardo Delgado Pacheco,19.0,Center Attacking Midfield,57.8,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e3f46510-1c17-4f51-bb99-5e7eb1b37122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c835474-9e7b-4c9b-ae60-6c08fdb7c00c,71,1,00:01:32.000,1,32,30,Pass,6,217,Barcelona,3,From Free Kick,217,Barcelona,1.410291,,1d4811e8-a2ba-4b42-b1d2-ddc48886e3dc,4324.0,Daniel Alves da Silva,2.0,Right Back,60.4,64.5,5213.0,Gerard Piqué Bernabéu,14.286357,-2.375994,1.0,Ground Pass,50.1,54.6,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,7b4f4b4e-9c19-4b4a-9831-1b309cc17043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7b4f4b4e-9c19-4b4a-9831-1b309cc17043,72,1,00:01:33.410,1,33,42,Ball Receipt*,6,217,Barcelona,3,From Free Kick,217,Barcelona,,,4c835474-9e7b-4c9b-ae60-6c08fdb7c00c,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,50.1,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996f5fc9-94d0-4e87-91d0-d08d4131756c,73,1,00:01:33.410,1,33,43,Carry,6,217,Barcelona,3,From Free Kick,217,Barcelona,1.756309,,7b4f4b4e-9c19-4b4a-9831-1b309cc17043,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,50.1,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e032ade1-33c5-4c98-a118-2356271847a3,51.0,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
