id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,foul_committed,foul_won,ball_receipt,out,clearance,counterpress,dribble,duel,50_50,interception,ball_recovery,block,miscontrol,substitution,bad_behaviour,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,pass_switch,related_events_2,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,related_events_3,dribble_outcome_id,dribble_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,interception_outcome_id,interception_outcome_name,related_events,pass_technique_id,pass_technique_name,pass_inswinging,duel_type_id,duel_type_name,clearance_aerial_won,pass_cross,foul_committed_type_id,foul_committed_type_name,dribble_overrun,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_advantage,foul_won_advantage,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,shot_freeze_frame_16_location_0,shot_freeze_frame_16_location_1,shot_freeze_frame_16_player_id,shot_freeze_frame_16_player_name,shot_freeze_frame_16_position_id,shot_freeze_frame_16_position_name,shot_freeze_frame_16_teammate,shot_freeze_frame_17_location_0,shot_freeze_frame_17_location_1,shot_freeze_frame_17_player_id,shot_freeze_frame_17_player_name,shot_freeze_frame_17_position_id,shot_freeze_frame_17_position_name,shot_freeze_frame_17_teammate,shot_freeze_frame_18_location_0,shot_freeze_frame_18_location_1,shot_freeze_frame_18_player_id,shot_freeze_frame_18_player_name,shot_freeze_frame_18_position_id,shot_freeze_frame_18_position_name,shot_freeze_frame_18_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,clearance_left_foot,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,pass_through_ball,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,related_events_4,related_events_5,pass_goal_assist,shot_one_on_one
0da27954-9f3b-4bb1-ae5a-36b82640076b,703,1,00:18:00.964,18,0,42,Ball Receipt*,34,217,Barcelona,1,Regular Play,217,Barcelona,,,8b4942d2-1a6c-43bf-85e1-271e2cd5ebdf,,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,107.5,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2d10d2e-8e9a-4102-8672-3a77461a9756,716,1,00:18:45.890,18,45,30,Pass,36,217,Barcelona,1,Regular Play,217,Barcelona,1.312,,4fd43350-2526-42cf-9ffb-2ca94261c929,,22102,Adriano Correia Claro,6,Left Back,27.0,27.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,90344daa-d7bd-48b2-9f0c-2b1cce622631,5470.0,Ivan Rakitić,10.863241,1.1937088,2.0,Low Pass,31.0,37.5,,,66.0,Recovery,,,cd006716-887f-4b9a-9c2b-9dbf0490ccaf,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a2798fa-8031-49e1-92cc-8cdf3d08b726,717,1,00:18:47.153,18,47,17,Pressure,36,217,Barcelona,1,Regular Play,221,Levante UD,1.603792,,3518ee2d-e835-431d-a620-cbd703ab7970,,26248,David Barral Torres,22,Right Center Forward,89.2,42.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,76a0f5b4-6081-41f5-a835-31a9665f8da4,,,,,,,,,,,,,,,90344daa-d7bd-48b2-9f0c-2b1cce622631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90344daa-d7bd-48b2-9f0c-2b1cce622631,718,1,00:18:47.202,18,47,42,Ball Receipt*,36,217,Barcelona,1,Regular Play,217,Barcelona,,,2a2798fa-8031-49e1-92cc-8cdf3d08b726,,5470,Ivan Rakitić,13,Right Center Midfield,31.0,37.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,f2d10d2e-8e9a-4102-8672-3a77461a9756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3518ee2d-e835-431d-a620-cbd703ab7970,719,1,00:18:47.202,18,47,43,Carry,36,217,Barcelona,1,Regular Play,217,Barcelona,1.526673,,2a2798fa-8031-49e1-92cc-8cdf3d08b726,,5470,Ivan Rakitić,13,Right Center Midfield,31.0,37.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,6976d99e-e480-49e5-833a-889e505c3488,,,,,,,,,,,,,,,76a0f5b4-6081-41f5-a835-31a9665f8da4,31.7,37.9,,,,,,90344daa-d7bd-48b2-9f0c-2b1cce622631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976d99e-e480-49e5-833a-889e505c3488,720,1,00:18:48.729,18,48,22,Foul Committed,36,217,Barcelona,1,Regular Play,221,Levante UD,0.0,,3518ee2d-e835-431d-a620-cbd703ab7970,,26248,David Barral Torres,22,Right Center Forward,88.4,42.2,,,,,,,,,,,,,,,,,,True,,,,,,,,,,76a0f5b4-6081-41f5-a835-31a9665f8da4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76a0f5b4-6081-41f5-a835-31a9665f8da4,721,1,00:18:48.729,18,48,21,Foul Won,36,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,2a2798fa-8031-49e1-92cc-8cdf3d08b726,,5470,Ivan Rakitić,13,Right Center Midfield,31.7,37.9,,,True,,,,,,,,,,,,,,,,,,,,,,,,,6976d99e-e480-49e5-833a-889e505c3488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf8b668d-d124-46fd-acf4-9a602426bccb,722,1,00:18:57.033,18,57,30,Pass,37,217,Barcelona,3,From Free Kick,217,Barcelona,2.082122,,a54c11b3-a747-470e-ba09-b42e2c75f285,True,5470,Ivan Rakitić,13,Right Center Midfield,32.7,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7068.0,Marc Bartra Aregall,23.217451,1.5320227,1.0,Ground Pass,33.6,61.7,40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a54c11b3-a747-470e-ba09-b42e2c75f285,723,1,00:18:59.115,18,59,42,Ball Receipt*,37,217,Barcelona,3,From Free Kick,217,Barcelona,,,bf8b668d-d124-46fd-acf4-9a602426bccb,,7068,Marc Bartra Aregall,5,Left Center Back,33.6,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cb9068d-357b-409c-bee1-ee8991b3b76f,724,1,00:18:59.774,18,59,30,Pass,37,217,Barcelona,3,From Free Kick,217,Barcelona,1.181884,,72220c85-394d-42c6-b0ce-c59ebb93de36,,7068,Marc Bartra Aregall,5,Left Center Back,36.7,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6593.0,Martín Montoya Torralbo,16.360012,0.7291804,1.0,Ground Pass,48.9,73.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72220c85-394d-42c6-b0ce-c59ebb93de36,725,1,00:19:00.955,19,0,42,Ball Receipt*,37,217,Barcelona,3,From Free Kick,217,Barcelona,,,8cb9068d-357b-409c-bee1-ee8991b3b76f,,6593,Martín Montoya Torralbo,2,Right Back,48.9,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5376f6ab-c94b-4380-8fc8-be64a8a10a07,726,1,00:19:00.955,19,0,43,Carry,37,217,Barcelona,3,From Free Kick,217,Barcelona,0.842316,,72220c85-394d-42c6-b0ce-c59ebb93de36,,6593,Martín Montoya Torralbo,2,Right Back,48.9,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,8e7a211f-b7c0-4c89-aed4-4b199a5cc3fc,,,,,,,,,,,,,,,,49.7,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e7a211f-b7c0-4c89-aed4-4b199a5cc3fc,727,1,00:19:01.798,19,1,30,Pass,37,217,Barcelona,3,From Free Kick,217,Barcelona,1.4175,,bea68c83-1af7-4709-805c-7b419d42cdfb,,6593,Martín Montoya Torralbo,2,Right Back,49.7,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,14.653668,0.22014932,1.0,Ground Pass,64.0,76.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bea68c83-1af7-4709-805c-7b419d42cdfb,728,1,00:19:03.215,19,3,42,Ball Receipt*,37,217,Barcelona,3,From Free Kick,217,Barcelona,,,8e7a211f-b7c0-4c89-aed4-4b199a5cc3fc,,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,64.0,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3b54634-d3b7-4e40-89d7-df512cab9dbe,729,1,00:19:03.215,19,3,30,Pass,37,217,Barcelona,3,From Free Kick,217,Barcelona,1.6883,,6289d702-0497-440c-86a4-ddfe05e33b60,,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,64.0,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6593.0,Martín Montoya Torralbo,10.375452,-2.6822553,1.0,Ground Pass,54.7,72.2,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6289d702-0497-440c-86a4-ddfe05e33b60,730,1,00:19:04.904,19,4,42,Ball Receipt*,37,217,Barcelona,3,From Free Kick,217,Barcelona,,,d3b54634-d3b7-4e40-89d7-df512cab9dbe,,6593,Martín Montoya Torralbo,2,Right Back,54.7,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241757eb-b269-4aca-a0aa-a4dce7da1383,731,1,00:19:04.904,19,4,43,Carry,37,217,Barcelona,3,From Free Kick,217,Barcelona,1.165673,,4c65bf7d-29d4-45e3-9ce6-b9c50b4bac6d,,6593,Martín Montoya Torralbo,2,Right Back,54.7,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6289d702-0497-440c-86a4-ddfe05e33b60,,,,,,,,,,,,,,,,60.1,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c65bf7d-29d4-45e3-9ce6-b9c50b4bac6d,732,1,00:19:06.069,19,6,30,Pass,37,217,Barcelona,3,From Free Kick,217,Barcelona,1.635527,,b0e08855-d085-43be-aa63-1568aafedd71,,6593,Martín Montoya Torralbo,2,Right Back,60.1,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,18.341211,-2.0588293,1.0,Ground Pass,51.5,53.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0e08855-d085-43be-aa63-1568aafedd71,733,1,00:19:07.705,19,7,42,Ball Receipt*,37,217,Barcelona,3,From Free Kick,217,Barcelona,,,4c65bf7d-29d4-45e3-9ce6-b9c50b4bac6d,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,51.5,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be80c81d-170b-45d0-9015-13ad69d05e12,734,1,00:19:07.705,19,7,43,Carry,37,217,Barcelona,3,From Free Kick,217,Barcelona,2.6235,,b0e08855-d085-43be-aa63-1568aafedd71,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,51.5,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,b88a66ee-d522-4d73-ba60-d8167c4e2c8f,,,,,,,,,,,,,,,,57.4,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b88a66ee-d522-4d73-ba60-d8167c4e2c8f,735,1,00:19:10.328,19,10,30,Pass,37,217,Barcelona,3,From Free Kick,217,Barcelona,1.443623,,7af8f371-92d2-4cf9-bc18-88e1fa44bb22,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,57.4,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22102.0,Adriano Correia Claro,31.6547,-1.3833137,1.0,Ground Pass,63.3,15.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7af8f371-92d2-4cf9-bc18-88e1fa44bb22,736,1,00:19:11.772,19,11,42,Ball Receipt*,37,217,Barcelona,3,From Free Kick,217,Barcelona,,,b88a66ee-d522-4d73-ba60-d8167c4e2c8f,,22102,Adriano Correia Claro,6,Left Back,63.3,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02fdc5cf-447d-48a2-9511-c8ae17488fba,737,1,00:19:11.772,19,11,43,Carry,37,217,Barcelona,3,From Free Kick,217,Barcelona,3.752277,,7af8f371-92d2-4cf9-bc18-88e1fa44bb22,,22102,Adriano Correia Claro,6,Left Back,63.3,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ac5e1a76-aaaf-4147-a09f-3d5bfbcb7508,,,,,,,,,,,,,,,,63.3,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac5e1a76-aaaf-4147-a09f-3d5bfbcb7508,738,1,00:19:15.524,19,15,30,Pass,37,217,Barcelona,3,From Free Kick,217,Barcelona,1.5906,,5558760e-63b2-4db5-8f14-79e85c6b1730,,22102,Adriano Correia Claro,6,Left Back,63.3,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,12.701574,2.439798,1.0,Ground Pass,53.6,23.4,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5558760e-63b2-4db5-8f14-79e85c6b1730,739,1,00:19:17.115,19,17,42,Ball Receipt*,37,217,Barcelona,3,From Free Kick,217,Barcelona,,,ac5e1a76-aaaf-4147-a09f-3d5bfbcb7508,,5506,Javier Alejandro Mascherano,3,Right Center Back,53.6,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f0cdcfb-678f-44b4-b8cc-018de074d533,740,1,00:19:17.115,19,17,43,Carry,37,217,Barcelona,3,From Free Kick,217,Barcelona,1.4649,,468c7b5d-777c-4d4a-8113-922aa55258bb,,5506,Javier Alejandro Mascherano,3,Right Center Back,53.6,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5558760e-63b2-4db5-8f14-79e85c6b1730,,,,,,,,,,,,,,,,56.7,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
